CHROM	START	END	BRCA_METH	BRCA_DEPTH	CEAD_METH	CEAD_DEPTH	CESC_METH	CESC_DEPTH	COAD_METH	COAD_DEPTH	OV_METH	OV_DEPTH	READ_METH	READ_DEPTH	B cell_METH	B cell_DEPTH	CD4+ T-cell_METH	CD4+ T-cell_DEPTH	CD8+ T-cell_METH	CD8+ T-cell_DEPTH	Erythroblast_METH	Erythroblast_DEPTH	Monocyte_METH	Monocyte_DEPTH	Natural killer cell_METH	Natural killer cell_DEPTH	Neutrophil_METH	Neutrophil_DEPTH
chr17	79864705	79865137	1072	1661	67	84	25	51	385	510	174	224	301	522	1506	1738	3121	3565	1213	1382	1440	1791	1503	1712	1493	1731	4665	5508
chr10	48819454	48820337	2317	3055	103	122	81	143	674	1081	271	367	287	780	2932	3129	3647	3782	2180	2297	1502	1782	3037	3133	1987	2199	9549	9894
chr17	60150285	60150775	1062	7598	8	101	24	52	409	906	18	182	50	917	266	2796	495	6791	201	2359	110	2872	173	3027	195	2676	416	9419
chr12	69281772	69282217	966	1030	103	113	49	55	190	209	46	98	170	197	526	542	298	305	292	304	185	193	433	436	303	308	1328	1391
chr2	18976541	18976902	725	974	26	52	61	67	145	225	82	106	117	178	773	916	464	493	360	390	194	232	522	584	417	458	1694	1966
chr1	52032803	52033218	49	1980	2	91	0	63	600	1037	3	238	3	488	116	2485	832	8485	237	3158	253	4307	246	3739	196	3666	683	12410
chr5	173580264	173580750	1202	1654	53	61	79	105	325	478	129	131	81	375	996	1076	1540	1598	798	838	609	721	1245	1290	897	947	3555	3767
chr5	9154474	9155051	852	1269	57	71	25	52	309	384	76	92	230	256	974	1095	2770	2961	1279	1408	739	1021	1486	1619	1315	1471	5369	5878
chr20	61092118	61092472	572	1540	60	72	73	81	229	305	105	123	268	421	886	954	2318	2436	1267	1364	694	846	1171	1260	1448	1572	5002	5393
chr17	63975274	63975529	505	610	34	39	21	21	125	171	37	50	39	149	298	336	1354	1414	432	454	475	583	545	566	458	500	1650	1748
chr13	111370174	111371039	1407	3064	88	107	76	103	789	937	153	178	645	841	2007	2208	6090	6278	2058	2202	2355	2680	3156	3301	2249	2420	9834	10506
chr15	53683805	53684270	1477	1807	78	86	50	85	229	340	122	152	70	338	832	881	1990	2057	787	844	697	846	942	985	964	1031	3651	3903
chr20	23318804	23319491	822	1128	52	70	52	65	163	257	71	78	72	182	732	833	504	540	282	315	220	249	608	646	353	387	1449	1588
chr19	2908322	2908892	1724	2040	139	177	21	149	619	756	178	223	499	562	1472	1870	2546	2664	919	1009	1240	1360	1579	1639	1247	1332	5289	5474
chr10	125114051	125114399	294	1093	66	74	75	77	460	603	152	169	331	410	1428	1514	2764	2923	1156	1208	1077	1171	1488	1539	1087	1267	5480	5779
chr20	38581270	38581569	604	781	44	46	34	43	170	251	53	77	78	330	577	672	1316	1471	610	748	519	689	627	704	693	830	2451	2857
chr16	58169051	58169423	1225	1363	63	65	17	31	398	462	113	123	248	319	1165	1194	3326	3415	1163	1209	1321	1400	1398	1438	1040	1082	4715	4945
chr1	167491213	167491756	2031	2307	42	50	64	75	381	468	86	106	292	412	1183	1245	819	1035	590	668	729	814	883	939	220	764	3041	3161
chr20	25859631	25860677	2200	6312	149	276	35	116	1908	2768	202	365	1127	2548	1683	5051	6550	17331	1812	6253	2987	8223	2052	8433	2690	7395	9090	26754
chr11	44298886	44299340	369	479	22	27	20	31	151	189	28	37	52	148	435	516	352	378	347	384	160	204	310	341	304	351	1268	1461
chr22	36974155	36975670	2535	3257	165	240	137	160	923	1332	301	399	321	778	3102	3656	4669	5095	2145	2457	1988	2158	2765	3108	2277	2538	8225	9546
chr21	36430000	36430419	715	1388	3	56	3	33	15	491	8	108	19	329	31	1724	93	4187	34	2061	10	1925	4	2234	6	2548	11	8159
chr5	174167380	174168191	1731	2071	133	162	79	105	384	541	174	206	150	535	1459	1636	2384	2515	930	988	966	1210	1305	1435	1003	1115	3609	4078
chr20	63944417	63944922	1589	1755	62	72	44	56	874	947	132	150	787	887	1395	1498	7067	7299	2002	2067	3376	3578	2711	2833	2483	2609	8404	9064
chr12	50208864	50209299	1025	1170	42	46	38	64	250	291	86	100	256	287	910	938	403	414	397	415	210	237	444	459	378	406	1705	1761
chr2	2696512	2696915	537	1016	41	49	10	24	356	553	52	69	98	187	689	767	3480	3689	925	992	1164	1402	1177	1237	973	1053	4326	4630
chr1	155773961	155774435	433	1517	79	99	126	135	222	249	108	116	175	220	573	589	563	589	272	296	292	308	382	389	361	378	1236	1272
chr11	94178068	94178779	1828	1992	129	138	145	164	542	691	197	213	112	523	1520	1552	2615	2684	1434	1473	1105	1176	1947	1983	1605	1657	6355	6576
chr7	151878592	151879519	1404	1557	79	84	72	78	384	475	120	135	169	319	1040	1090	1527	1595	936	970	687	775	907	1020	824	875	3206	3638
chr16	54075290	54075981	965	2366	130	134	196	220	442	569	263	313	344	499	1076	1134	689	700	599	620	294	339	604	626	558	612	2904	3033
chr22	44462392	44463603	1538	1892	116	124	71	83	733	925	145	176	259	551	1539	1855	4813	5019	1616	1746	1679	2044	2106	2313	1766	1923	6759	7425
chr17	82398246	82398676	796	888	32	50	51	56	373	441	102	120	331	395	898	935	1141	1162	835	853	381	403	1034	1064	713	736	3015	3165
chr12	128742028	128742415	383	1031	36	41	40	50	347	433	68	86	132	164	905	948	1360	1450	627	639	510	613	931	961	608	648	2851	3009
chr1	96987633	96988218	931	1088	60	65	77	92	344	521	77	97	76	175	835	1028	2494	2653	835	950	775	1068	1054	1160	888	1047	3467	3893
chr12	55788689	55790074	2804	3064	167	177	190	210	812	901	156	284	587	640	1983	2064	2259	2323	1332	1400	1098	1157	1538	1602	1624	1687	5777	6043
chr6	16497117	16497549	1214	1441	67	82	93	96	272	370	25	125	223	254	648	707	1352	1381	510	521	444	528	551	590	549	568	2102	2225
chr1	3601532	3602417	1495	1800	87	97	68	93	698	873	121	166	97	488	1746	1949	5651	5980	1790	1949	2212	2656	2672	2978	1945	2216	5004	7257
chr19	12873666	12874067	3654	4054	114	146	102	117	2548	2718	213	251	539	835	2824	2967	21528	22829	3761	4018	11003	13398	5167	5501	5005	5389	19814	21118
chr7	155377974	155378264	397	2030	23	116	24	73	432	824	22	214	23	735	135	2305	281	12198	111	3898	69	5927	76	4370	48	4295	169	15564
chr17	8170427	8170707	1140	1261	68	126	66	77	350	390	25	101	215	238	880	921	1382	1453	721	751	687	751	785	805	818	847	2902	3098
chr4	140110080	140110476	1903	2117	128	132	131	143	509	601	170	194	119	268	1452	1542	1577	1618	976	1009	732	778	1281	1341	947	1017	4693	4881
chr19	52523802	52524288	1602	1959	132	163	153	188	546	638	124	222	421	504	1544	1735	2609	2695	1304	1361	1287	1487	1694	1745	1506	1591	5083	5366
chr8	30911722	30912291	117	2953	3	193	5	71	758	1146	3	325	143	363	106	3908	188	11883	81	5406	43	6266	51	6582	90	5844	113	18581
chr7	832147	832539	435	1530	25	63	6	52	133	446	3	82	357	457	221	1156	15	418	41	369	441	808	404	1161	48	770	1272	3966
chr12	45803718	45804574	598	1543	119	126	170	198	321	386	224	266	298	377	924	953	318	319	370	379	180	198	413	419	343	355	1659	1712
chr6	25423267	25423578	963	1098	56	70	72	76	236	269	24	92	172	201	645	699	1106	1171	403	421	519	652	554	600	388	424	1581	1706
chr9	126885638	126886090	823	936	52	61	76	87	298	376	48	88	148	176	724	766	1686	1818	598	649	652	799	500	761	616	792	123	2280
chr19	12779851	12780106	543	665	34	40	44	48	193	246	50	58	203	245	536	573	1044	1076	430	445	711	747	571	726	505	539	198	1725
chr6	143739106	143740158	3164	3533	219	228	182	211	1133	1237	261	303	317	702	2375	2589	2782	3077	1865	2203	1577	1687	2614	2741	2351	2538	8344	9264
chr6	148518781	148519288	857	1077	47	53	26	43	316	381	105	119	81	238	832	866	1815	1967	627	676	658	820	995	1037	657	732	2984	3142
chr11	114779353	114779884	946	1294	91	126	40	53	443	594	107	146	285	359	1037	1386	2808	2969	904	1048	1036	1303	1308	1501	1075	1253	3985	4586
chr20	57110285	57110777	2799	3024	170	172	44	44	472	937	290	303	861	960	2247	2353	8826	9216	2293	2437	3764	4120	3210	3348	2280	2463	9166	9589
chr3	37395229	37396033	963	1081	47	55	40	50	290	329	65	97	238	265	775	806	878	904	472	487	417	451	399	549	445	460	18	1205
chr17	82493295	82493862	809	1025	51	67	6	37	319	440	77	133	296	478	1106	1176	3027	3133	1185	1242	1419	1613	1398	1525	1270	1353	4519	5120
chr10	11936226	11936994	1862	2023	76	84	144	156	427	497	214	248	237	573	1329	1376	1236	1274	864	906	646	695	1085	1109	901	930	3213	3404
chr11	119088031	119089014	1411	1543	75	83	58	61	641	705	133	155	455	488	1605	1707	3695	3909	1526	1631	1235	2176	2063	2165	1526	1708	6341	6763
chr20	63518161	63518916	2537	2774	106	116	92	104	1043	1154	101	167	779	881	2142	2378	8382	8733	2536	2763	4639	5375	3453	3734	2851	3139	10422	11462
chr20	46743912	46744417	1065	1225	59	65	46	50	347	488	93	113	157	452	746	863	1951	2149	878	981	1018	1249	1046	1147	791	920	3212	3652
chr20	31586741	31587353	4159	4603	316	357	154	171	469	743	291	378	257	2048	3068	3335	9838	10295	3707	3901	4702	5140	3576	3884	3874	4165	14195	15352
chr12	121237460	121238169	782	1639	99	107	81	92	550	590	150	174	443	505	1503	1555	2302	2374	1518	1550	1043	1124	2070	2133	1543	1603	5423	5689
chr13	113098329	113098759	2932	3221	106	127	85	87	1240	1314	117	173	828	955	1703	1772	5921	6122	2222	2334	2763	3025	2746	2837	2517	2657	9549	9969
chr12	42589124	42589769	21	4033	9	154	0	107	923	1496	19	413	62	610	92	3886	182	24296	109	7699	44	10843	18	7899	52	8263	89	28366
chr1	26197688	26198260	1003	1141	79	101	15	37	261	404	84	121	181	277	1133	1268	2241	2308	867	929	1113	1279	1246	1325	1020	1088	3641	3879
chr2	8693937	8694426	703	788	63	68	44	55	320	366	62	80	108	249	677	697	1850	1917	644	661	808	829	1033	1067	836	878	2786	2913
chr14	83875073	83876008	856	1357	65	79	82	113	136	176	140	160	57	167	820	881	541	566	400	437	189	228	505	561	373	427	1523	1684
chr1	175179368	175179909	356	847	48	50	51	67	209	249	90	99	174	213	546	636	620	632	376	396	269	319	485	495	344	361	1383	1447
chr3	119702669	119703176	204	1930	20	123	42	122	539	895	16	320	40	805	67	1556	83	4325	68	1958	56	2475	23	2415	34	1985	73	6921
chr9	132008395	132008778	367	834	29	50	6	94	165	252	58	78	129	175	654	674	756	764	536	558	355	391	621	644	507	545	1652	1832
chr14	30874432	30875088	69	4153	2	156	7	154	794	1058	14	367	26	748	60	4156	221	20999	70	7635	46	10770	38	8265	53	7808	131	28491
chr10	68832543	68833376	1248	1421	84	102	30	49	484	551	97	149	359	404	1263	1340	1224	1262	979	1045	581	667	1284	1340	1126	1180	4103	4351
chr18	74413940	74414340	702	858	34	43	21	59	257	357	66	100	83	165	708	796	1616	1679	963	1063	630	854	1095	1152	1014	1167	3718	4047
chr7	152667345	152668134	1405	1561	63	98	117	155	350	417	129	157	364	421	1123	1260	777	808	499	546	407	507	165	511	538	603	1270	1971
chr9	137486349	137486703	1133	1269	54	71	34	79	549	646	70	92	302	375	913	994	3541	3653	959	1008	1604	1767	1487	1557	1020	1071	4744	5079
chr17	73164753	73165252	44	3275	22	144	10	32	802	1347	12	290	218	698	53	2041	200	9780	90	3494	60	5360	27	4262	30	4013	108	13088
chr3	124384116	124384715	544	1082	38	65	14	55	369	476	112	178	307	371	1225	1422	2427	2568	884	964	1102	1204	1306	1436	1029	1120	4023	4386
chr4	763524	763893	597	1364	72	84	43	44	502	560	108	115	301	348	1399	1457	1869	1969	1169	1197	1089	1144	1774	1849	1247	1308	4966	5320
chr22	31705080	31706104	1690	1816	90	96	75	99	552	588	156	183	419	463	1796	1823	1029	1057	693	710	560	580	1175	1209	769	795	3142	3285
chr8	26376159	26376439	432	554	29	35	44	50	147	216	65	75	36	104	497	540	217	225	164	175	114	128	387	395	178	190	794	831
chr19	57681557	57682089	61	3047	32	174	88	160	42	1411	21	296	19	928	198	4167	136	10687	101	4913	207	7029	127	4864	168	5536	514	17639
chr18	79430468	79430891	1066	1160	53	59	50	61	410	472	87	96	56	219	1035	1105	1842	1927	1059	1128	869	964	1201	1264	1292	1366	4455	4889
chr2	240304512	240305614	2157	3241	168	210	116	138	694	1195	211	288	162	817	2485	3154	7303	8769	2927	3513	2656	3708	3405	4032	3151	3927	11224	13495
chr8	29119674	29119938	286	556	36	39	39	40	236	258	76	81	123	124	614	625	767	792	313	322	282	316	448	454	301	318	1204	1247
chr2	219215804	219216230	1328	1425	90	91	84	84	781	839	80	137	413	471	1692	1740	5554	5679	1563	1609	3155	3314	2172	2254	1929	2004	7117	7396
chr17	3810687	3810991	484	568	28	31	20	22	183	204	59	69	128	149	284	685	549	572	303	361	267	297	552	592	333	368	1706	1845
chr7	66880329	66880912	982	1241	73	78	56	57	130	171	101	122	72	347	825	884	630	639	508	526	332	351	629	659	508	524	2077	2146
chr8	143437408	143437791	706	835	59	82	49	60	239	347	81	104	41	287	567	631	1204	1279	547	609	649	727	1034	1140	629	692	2582	2991
chr1	8372696	8374122	2018	2867	103	163	127	181	883	1085	99	238	674	832	2733	2881	4208	4569	2284	2456	2198	2460	2898	3146	2715	2909	8935	10294
chr7	2413234	2414388	3455	4188	248	282	98	118	739	961	205	242	751	924	1937	2324	2208	2508	965	1232	974	1251	1226	1606	220	1178	4696	5766
chr6	3664978	3665426	417	1660	69	79	83	85	316	413	72	99	193	312	1080	1202	2258	2364	1134	1198	924	1033	1224	1307	1070	1152	4214	4493
chr2	26536641	26537498	1529	1995	79	103	28	94	546	712	130	163	283	415	1567	1989	4593	4972	1929	2173	1655	2168	2388	2645	2034	2310	7593	8505
chr3	185908712	185909145	2054	2241	101	109	119	141	518	622	186	213	405	634	1480	1551	1313	1382	902	948	742	800	1192	1248	1053	1105	4388	4647
chr19	33860608	33861305	923	1128	67	73	51	52	268	371	104	129	198	378	929	1034	1955	2049	898	967	755	889	1178	1252	967	1069	3400	3627
chr2	222788098	222788383	621	778	44	45	2	27	378	491	50	75	247	280	979	1019	2918	2998	1062	1114	1128	1307	1294	1336	1150	1205	4194	4361
chr17	44788854	44789348	1106	1295	80	94	68	82	313	406	95	106	130	249	1063	1135	725	763	547	587	372	426	743	792	625	677	2498	2630
chr22	30673478	30673803	824	920	29	44	25	26	242	287	72	85	211	258	677	716	807	843	360	385	313	361	544	582	578	619	2076	2199
chr13	99859917	99860211	1192	1556	50	80	59	74	310	414	109	123	343	389	643	968	832	1620	357	905	789	987	941	1041	27	941	3699	4210
chr6	25066976	25067970	1674	1997	93	109	144	178	362	523	150	179	133	372	1533	1586	1492	1546	929	960	577	676	1317	1389	894	941	3988	4243
chr1	223785827	223786105	314	1201	39	65	64	81	230	252	103	146	197	260	475	492	270	288	353	366	121	141	349	353	400	428	1554	1636
chr9	114007480	114008207	1427	1649	128	144	86	94	367	472	117	122	176	371	773	1019	1337	1430	713	775	546	668	898	964	712	781	3077	3376
chr5	150408613	150409555	2133	2615	103	139	62	94	592	886	151	190	525	644	760	2516	2609	2749	1582	1787	1160	1348	2005	2307	1630	1808	6284	7037
chr13	53031604	53031937	372	478	27	27	18	18	134	157	47	51	56	253	400	480	256	266	301	335	94	120	510	538	298	323	1568	1655
chr12	2878894	2879483	1366	1481	71	77	78	87	328	352	36	103	193	221	995	1042	1116	1165	790	809	568	605	797	877	863	909	2816	3050
chr15	98552971	98553751	1082	1312	75	85	93	125	284	390	68	99	63	191	740	827	1344	1418	633	686	501	631	711	747	634	701	2310	2433
chr20	18011934	18012206	1957	2088	59	68	26	27	513	561	71	124	363	394	560	614	2394	2517	816	878	1061	1184	847	991	741	838	2920	3279
chr9	126486020	126487111	1568	1740	77	87	55	95	564	603	190	197	447	500	1912	2062	2626	2690	1550	1597	858	1027	2220	2318	1750	1832	6354	6664
chr11	3077063	3077572	544	624	23	27	23	27	241	304	61	61	111	291	776	825	542	561	533	551	252	286	774	804	543	562	2161	2279
chr12	128819362	128819794	1344	1506	68	71	112	117	423	498	71	91	305	359	1150	1218	3272	3434	1299	1377	1090	1182	1148	1240	1036	1114	724	3411
chr14	69260025	69260573	35	3177	1	171	3	133	391	1274	3	287	30	785	61	3310	185	17007	80	5696	39	7686	14	6757	36	7008	13	22373
chr20	10608447	10608790	700	745	58	61	40	42	175	201	78	83	105	119	672	688	464	476	227	255	170	180	307	315	88	224	978	1040
chr5	128089932	128090836	850	989	60	66	79	81	157	213	86	93	58	209	510	545	770	804	365	375	309	380	431	454	395	406	1492	1515
chr12	124650507	124650999	1477	1673	72	88	86	101	441	514	131	176	129	409	1169	1267	1355	1393	986	1028	796	859	1320	1344	1069	1136	4223	4397
chr15	41621438	41621913	366	3033	12	216	0	76	1668	2237	15	334	73	226	287	3698	850	15803	181	4229	232	11276	215	6424	215	5970	509	19515
chr16	27528099	27529307	1691	3202	120	133	98	104	793	844	218	232	610	679	2016	2082	3459	3552	1769	1811	1398	1504	1903	1954	1732	1781	7107	7301
chr19	53059028	53060126	2243	3006	206	219	355	424	688	831	115	310	680	804	2976	3218	2328	2545	1997	2181	1068	1250	1858	2071	2131	2345	7722	8604
chr2	185864753	185865272	1188	1550	73	75	50	50	464	778	99	131	110	437	1478	1631	1609	1686	570	620	559	640	876	960	734	771	2616	2855
chr20	35746839	35747125	734	816	65	71	26	51	193	207	115	122	338	368	716	736	688	720	444	461	352	380	624	651	547	581	2077	2178
chr18	73528430	73528760	710	850	47	55	38	40	210	330	54	71	38	184	677	778	1412	1516	631	685	572	653	830	876	583	670	2774	2991
chr20	32059617	32060487	1057	1495	72	87	41	42	156	293	77	94	121	582	894	942	1023	1086	617	691	435	528	846	935	629	692	2537	2685
chr8	132845242	132845639	881	1053	59	63	88	96	177	206	107	111	190	241	366	416	218	218	121	123	101	115	15	134	111	115	534	579
chr13	27296311	27296681	537	690	25	30	8	18	199	254	54	71	245	317	907	931	1774	1833	663	711	815	965	1210	1281	770	833	3281	3509
chr22	36664435	36664737	785	1021	31	40	26	26	354	444	81	85	109	291	868	976	948	1074	621	664	401	501	875	935	533	602	2825	3059
chr8	29736566	29736883	973	1112	54	57	59	66	320	422	74	91	94	231	1138	1172	1449	1486	1339	1373	733	805	1139	1170	1321	1378	4658	4838
chr19	39300785	39301474	1307	1570	48	61	40	44	252	372	81	102	135	439	1118	1277	1263	1313	834	872	579	694	1065	1119	790	851	3616	3855
chr17	9965092	9965517	548	835	31	41	28	37	195	305	56	83	23	65	647	704	578	597	331	348	212	255	559	576	414	429	1520	1649
chr15	38295088	38295525	1308	1980	71	111	150	182	200	647	265	337	339	461	1028	1110	2269	2336	711	743	1083	1190	949	1008	788	848	3732	4055
chr7	101144777	101145232	1742	2249	88	100	85	111	325	604	115	155	226	658	1252	1444	1933	2087	707	768	908	1026	953	1034	820	929	2920	3251
chr6	16231993	16232293	1434	1613	73	77	87	99	378	459	91	219	215	286	860	921	1406	1445	835	866	659	691	811	856	824	878	3288	3456
chr17	78662041	78662940	5126	5679	207	241	224	266	750	1024	209	253	341	722	2019	2429	2543	2672	1768	1852	1265	1412	1884	1996	1893	2044	7124	7543
chr1	3783589	3783962	668	840	53	56	64	65	409	438	37	84	170	181	851	888	1488	1533	750	780	708	746	1028	1063	817	865	3304	3416
chr9	137744566	137745075	1331	2620	134	139	129	136	934	1078	158	171	501	590	826	2117	4607	4801	2095	2240	2159	2389	2386	2498	2010	2424	9072	9608
chr7	158915128	158916335	11652	13648	777	900	588	734	4052	4662	1259	1543	2438	2726	7408	8010	27162	29780	4420	4826	15456	17072	5458	7125	5541	6195	9446	15114
chr1	247842413	247842690	1873	2457	113	132	76	84	524	665	80	200	311	407	1451	1535	2023	2100	1156	1221	987	1061	1133	1202	1011	1107	4692	4841
chr6	35454359	35454751	682	805	35	45	7	34	209	227	58	83	171	187	578	615	943	968	355	361	516	556	397	541	388	400	939	1366
chr6	15906284	15907242	1957	2140	93	111	121	133	469	573	104	282	433	501	1846	1920	2292	2350	1428	1498	1120	1215	1386	1647	1373	1435	5291	5914
chr1	17338127	17339401	2302	2932	101	141	171	204	692	1137	197	249	218	762	2363	2831	5342	5735	2289	2546	2174	2590	2903	3064	2215	2527	8932	10012
chr6	148798962	148799348	1296	1459	63	90	98	108	507	625	129	139	199	308	1576	1633	4825	4990	1472	1523	1420	1668	1604	1676	1730	1800	6117	6432
chr13	70947043	70947466	1539	1768	92	96	94	123	393	578	160	175	230	552	1412	1584	1536	1609	957	1016	634	707	1250	1354	1080	1206	4280	4614
chr7	157303204	157303804	2096	2518	111	119	106	127	886	1121	124	184	295	683	1942	2041	2849	2959	1645	1698	1320	1421	1850	2081	1691	1804	5825	6762
chr9	95127511	95127852	355	1962	21	111	66	92	257	902	57	287	120	579	392	2225	1650	8261	519	3050	607	3683	271	3471	582	3608	1004	12492
chr2	232228127	232228433	593	700	42	43	27	42	188	235	60	65	122	298	662	685	702	725	627	663	319	352	692	719	635	673	2778	2992
chr20	48267845	48268096	837	980	44	52	51	51	230	304	128	138	167	340	736	790	1611	1681	555	590	616	719	759	803	674	718	2485	2639
chr16	17566572	17566929	631	1119	23	40	11	50	220	275	51	63	172	225	491	564	535	554	536	559	212	260	523	541	550	578	2153	2202
chr8	131770537	131771041	1247	1539	86	96	40	40	352	421	139	143	184	319	912	993	2120	2171	812	836	650	727	1091	1121	772	803	3190	3364
chr20	63782873	63783323	1394	1683	57	73	46	63	385	504	101	113	256	728	1034	1174	1722	1826	820	867	854	957	1414	1479	1236	1334	4557	4826
chr17	76046060	76046519	1303	1432	55	61	15	44	364	412	74	97	296	323	804	827	1689	1741	782	797	868	940	1174	1213	854	886	2932	3101
chr9	3648114	3648511	1335	1647	58	69	85	109	299	397	108	153	107	344	957	1034	480	490	418	436	204	232	552	606	430	452	2095	2316
chr9	123545964	123546288	824	1036	65	88	57	68	264	326	86	99	217	263	687	760	683	893	320	530	381	418	713	753	90	571	2098	2245
chr15	47569966	47570664	1011	1115	68	77	79	112	205	343	124	134	96	268	893	994	1129	1189	808	861	452	545	935	985	768	819	3177	3408
chr16	30605163	30605598	1455	1658	73	74	107	115	530	631	111	126	376	425	1259	1396	3630	3786	1440	1526	1576	1998	291	1909	1648	1750	2259	6193
chr16	89184522	89185022	1403	1874	99	137	38	72	1016	1397	102	130	172	498	1436	1564	10584	11581	2611	2862	5397	6151	3209	3583	3261	3620	11605	13099
chr11	121478331	121478691	384	802	15	34	0	19	436	501	27	55	215	248	811	834	2436	2493	821	854	1079	1190	930	980	883	938	3101	3484
chr9	131432071	131432666	583	661	26	32	16	43	159	187	41	44	146	191	483	506	587	603	399	420	275	290	528	546	419	448	1746	1850
